id1,id2
1372103,2280706
978933,1647628
776880,1615315
1631158,1925458
1982711,2115776
932892,1402144
513404,1390304
215523,978088
246614,951817
833510,1620085
585397,851227
295763,1656598
178974,201443
150023,1101501
1629516,1932306
498119,1222362
712616,1470580
768134,2098675
496852,2155816
349965,1466879
1639776,2022335
1130677,1320510
728494,2000912
1623593,1708912
684731,2065784
85782,227293
520162,773272
1484733,1974844
1860164,1992836
259252,837156
843047,1754494
360519,2058126
636440,1592742
1277378,1738041
928800,2183121
251975,1312737
602081,1834685
174013,768315
1700244,2070024
607185,1754388
108704,236111
329539,1092360
798668,1413364
159714,892810
949783,1948688
947983,975574
157246,777239
1520279,1560635
998205,1028370
1634480,2246768
307039,1383644
254578,1611152
980929,1819788
1141680,1641843
275597,1077655
716030,1057054
54949,1223309
274576,2281559
280132,475550
781552,1897905
763091,1603636
442776,1585421
307479,518640
2081862,2277043
381658,1245154
230987,470886
1338972,1794426
1404397,1980434
2019504,2266124
1109330,1297126
1017613,1746331
295564,1614516
1747056,2117292
31339,1171776
1816095,2280881
108346,1548828
509492,1124356
1433033,2133111
1463495,1847425
27902,1632207
236311,1632746
791986,2069326
702489,1010723
21784,367221
1399715,1980272
1137035,1977032
1974896,2132693
150628,1803364
295612,1191264
160205,874433
77936,675275
1076723,2001070
1116742,1232384
273024,1611408
428958,1162932
1283624,1985301
1370769,1802308
342568,577741
1864862,2174237
959706,2069271
986384,2053133
424013,763091
1407655,2048074
1162816,1861399
897616,986332
1889281,2252734
1441957,1903289
221043,1338972
175584,1511013
1851917,2082777
708953,2094529
432555,1429015
284384,1382534
79965,892950
58240,1817577
80565,127616
1028431,1193387
341675,1185695
1291519,1878223
742994,1308504
49721,1084671
1523105,1589065
1692855,1953005
433935,2179950
1342597,1868238
1134027,1643180
188265,576326
675485,1134602
1231989,1538173
1509327,1675232
582569,618066
130664,1285629
332963,2179509
1046848,1793376
2170149,2226954
91772,872432
834092,1836616
1829883,2247848
1443760,2208910
878904,1557754
722421,1230372
22340,1188584
420326,2225271
1267179,2027925
871026,2079893
722692,1137827
74002,2253918
139310,253656
333904,869743
605968,1866363
1059907,2062292
1996650,2174237
184503,1056668
1097953,1625756
1313577,1734325
629326,782145
844672,1569982
424013,1603636
461162,1828892
210622,1286591
641046,1838713
501541,1625062
449106,1510167
53575,921736
44847,1928957
1242221,1672394
204394,778884
167451,1382210
1081449,2010849
1378382,1401248
563024,1596789
800014,1711571
602471,667107
42661,1088864
56533,1860345
86793,997479
395249,642479
1025981,2206109
474547,1951675
1178607,1841723
531442,1138536
1289258,1619337
1176571,2126594
335730,1399715
157663,1491199
940225,1480855
835376,1482207
897972,964132
709497,720347
554762,890236
194054,702065
748566,1316995
937915,2028790
1521196,2257281
1555595,1803364
1666754,1904019
533439,999945
967906,2069897
125492,2241795
147022,1840263
723416,834704
808633,1610984
36712,1051724
280656,672207
167301,1259014
67164,1469743
53470,1902716
1928592,2065902
1813969,2084744
1181038,1720688
1502236,1553172
1082482,1522493
911723,2257234
1328461,1874807
1820766,2200282
1158959,1366044
52364,1655413
235864,1445373
898241,1868370
270618,2217423
530930,1686382
98572,1048303
278039,1128524
132250,2000809
717609,1422469
1181545,1304439
1664126,2088745
416070,1129232
605171,1414566
843518,1048225
643252,811700
1161051,2168409
178802,1366534
954156,1974079
16003,362098
144409,1299600
407620,2023537
488582,1039505
761818,1311572
519542,1676643
1459464,2266124
757672,2146889
407258,942972
105216,323162
858513,987101
685982,2161705
9198,491433
860798,1025588
24534,286264
223025,1305566
501393,971234
516579,691239
184503,287873
1313200,2231937
1271743,2196488
1208651,1239791
711986,1493450
818082,1631239
178097,883795
641717,1396605
138538,1037208
383315,1039322
708122,1980481
455669,1829749
455740,623766
1024013,2286258
319336,1239791
301287,1563464
1681891,1728581
233238,1041847
1310637,2240772
1200504,1470292
679600,1802308
129670,2131267
525239,1609649
654804,872798
1119565,1757001
665550,2043778
800204,2019504
676492,1638320
871637,2036436
129250,2061364
510148,1300428
993003,1549093
1394908,1861500
800204,1459464
621265,756780
358052,737247
323907,2190703
668812,1141493
650412,1272203
1849915,2236256
837052,1832200
96236,1563652
305250,1202730
542589,2067164
184503,2014164
323576,2218381
617842,860620
1061225,1862795
589958,1453929
119855,210395
815491,958367
623895,1631637
146907,1153110
1966990,2133449
642766,818475
370086,1241299
1342046,1563652
7727,768877
673,887579
848423,1283624
129872,598108
378789,1120617
485553,1117281
1992525,2178260
775512,1192414
1532997,1635054
499154,1189789
783905,1481391
1388236,1693158
445298,1064637
725238,2186670
74820,888924
1294015,1857777
1168948,1781599
466024,654988
801151,2122983
2145053,2287042
502147,1612612
1212575,1311534
917266,1441858
529960,607185
447743,827967
1452366,1906335
192036,1208431
1052406,1131008
282260,1708912
1674757,2264457
24237,539513
625202,1069441
1026300,1273537
686817,1172431
1555398,1986949
1525304,1679701
1488709,2099253
1101417,2008135
444196,987101
1104472,1448326
772303,1931343
1413523,1966245
1468151,2044703
1347990,1642521
1116950,1898130
1296875,1425472
1344294,2021201
685439,1380368
1079015,1621284
1338972,1921434
702479,2167433
1237710,1699371
837640,1953092
2067899,2085840
848423,1985301
524363,910630
1894147,2160777
921950,1706390
184969,676768
48449,428958
753265,2244287
1120444,1497032
2150821,2187892
50655,854603
439022,1816148
721325,1633246
813627,1365772
625200,1812379
702479,982899
1779800,2215907
1027867,2232702
793836,2110217
115593,873155
235864,1815747
716548,2138024
975416,1955901
1107264,1695074
254936,1939672
232793,1486053
671428,1446809
419378,1996119
66332,242942
1221239,2187617
729389,840112
2181794,2261042
374301,1840472
1039358,1885457
1393970,1468290
1985126,2122642
132705,774785
123456,1830199
1361877,1530291
1279240,2172632
994648,1900209
974647,1391273
1175071,2076933
528445,2235924
947061,1530738
57605,1183649
246329,542868
1259734,1948545
348160,511278
32029,1321326
51199,1922823
982899,2167433
130170,2116152
17720,1187370
211297,963179
409601,1169844
840679,1678743
779445,1899782
1136868,1155829
1692392,1883739
1047455,1082773
679600,1370769
1178679,1751383
1864862,1996650
337139,1832414
1635774,1822625
854603,2250899
394289,1807892
278393,571118
551147,1169989
1703972,1956011
482326,2068386
1100576,1695195
1388971,2257585
655537,1792124
681168,861615
811852,1206414
